,Velocity,Throttling,Acceleration_with_pitch_comp,Acceleration_measured,Pitch angle,k,i,j,h,d,a,b,c
0,0.0004999999888241291,6.410000038146973,0.18869955087311105,0.23830159499999998,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
1,0.0005263157777096096,6.510526355944182,0.19835910112311106,0.24796114525,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
2,0.003000000026077032,6.615000057220459,0.21228454412311107,0.26188658825,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
3,0.0031578947642916127,6.710526365982859,0.22522932212311106,0.27483136625,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
4,0.005999999959021807,6.805000066757202,0.23307464212311105,0.28267668625,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
5,0.00631578943054927,6.900000070270739,0.24258709262311104,0.29218913674999997,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
6,0.00999999986961484,6.985000085830689,0.25504153812311103,0.30464358225,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
7,0.010526315652226148,7.08947377455862,0.26440688887311103,0.314008933,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
8,0.014500000048428774,7.195000076293946,0.275047104123111,0.32464914824999996,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
9,0.0152631579457145,7.289473759500604,0.28303952387311104,0.332641568,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
10,0.01950000012293458,7.385000061988831,0.295592035873111,0.34519407999999996,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
11,0.020526315918878504,7.489473744442589,0.30956651212311104,0.35916855625,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
12,0.02549999998882413,7.585000038146973,0.31902992937311103,0.3686319735,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
13,0.02684210525139382,7.7000000351353695,0.333739904373111,0.3833419485,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
14,0.03300000028684735,7.800000023841858,0.34619434987311104,0.395796394,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
15,0.03473684240720774,7.900000020077354,0.352421572623111,0.40202361675,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
16,0.04100000010803342,7.990000009536743,0.363012754623111,0.41261479874999996,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
17,0.04315789485056149,8.10000000501934,0.373947169373111,0.42354921349999997,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
18,0.04899999992921948,8.185000014305114,0.384293185123111,0.43389522924999996,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
19,0.051578947293915246,8.273684225584331,0.39473726737311104,0.4443393115,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
20,0.05699999975040555,8.350000023841858,0.404789083623111,0.45439112774999996,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
21,0.059999999737269,8.447368446149325,0.41366410187311103,0.463266146,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
22,0.06600000010803342,8.515000033378602,0.419351958873111,0.46895400299999995,0.28999999165534973,544,2643,2476,1172,1153,822,3000,3000
